epoch,lr,step,train_loss,train_energy_mae,train_energy_mse,train_energy_per_atom_mae,train_energy_per_atom_mse,train_gradient_force_mae,train_gradient_force_mse,val_loss,val_energy_mae,val_energy_mse,val_energy_per_atom_mae,val_energy_per_atom_mse,val_gradient_force_mae,val_gradient_force_mse,test_loss,test_energy_mae,test_energy_mse,test_energy_per_atom_mae,test_energy_per_atom_mse,test_gradient_force_mae,test_gradient_force_mse,save_model
0,0.0001,9645.0,27.140528686465597,0.43931546668793825,0.36296794438663466,0.03274543335717369,0.0021433708950529262,0.11683932317559338,0.5355512148415746,2.133363638304695,0.2911103244306627,0.15409189943950338,0.022200206788434616,0.0009176246202916932,0.10771408267177338,0.03958543477730383,1.872420526343723,0.2856081827862263,0.14714142532754884,0.022403135669966833,0.0009103886610573566,0.10121493355354208,0.034505582020323486,True
1,0.0001,19290.0,1.1527703591494172,0.18885798580500707,0.07299599671652798,0.014147239696006265,0.0004518207297450013,0.08146294478184289,0.02159548724865772,1.2509496864123402,0.1660764416420454,0.061364018790629485,0.012685815580672558,0.0003622424147132304,0.08525816372691158,0.023791713352434216,,,,,,,,
2,0.0001,28935.0,0.7029731212456022,0.13101665745781396,0.03586671830531941,0.00976639489376127,0.0002152207124983795,0.06701826582746166,0.013342128058805624,1.0437750683597462,0.1590760878332194,0.04619244481656754,0.011998288989868069,0.0002649249091748607,0.07944331778409038,0.019951652470863578,,,,,,,,
3,0.0001,38580.0,0.5517792784075966,0.11115230193509078,0.025757354013459282,0.008263065042768445,0.000152008567935009,0.060491111288913164,0.010520438487882772,0.926458000047529,0.12057124495210012,0.03326405355088019,0.009257424079191287,0.0001984422420372152,0.07414578662072865,0.01786387892993297,,,,,,,,
4,0.0001,48225.0,0.4792172873155833,0.10102700950271264,0.021273223800105923,0.007499405174617013,0.00012459912015071412,0.0570169542608478,0.00915888127030952,0.888563942122351,0.10941002332759417,0.031751483952698646,0.008349332296399064,0.00018651118841857007,0.07171864274521733,0.01713624916339305,,,,,,,,
5,0.0001,57870.0,0.43382920126560975,0.09422590309600797,0.018504460212817455,0.006987338598676653,0.00010769059521260417,0.05466547058859269,0.008306494821055882,0.9493197931635109,0.12412935311025212,0.03459107903680738,0.009604758761824053,0.00021086905725559174,0.07596504228655336,0.01829457428253407,,,,,,,,
6,0.0001,67515.0,0.4024529907658226,0.08921419245103138,0.016637213096846855,0.006613781794605439,9.655185346068788e-05,0.05292547524371926,0.007716315553379464,0.8079229693485844,0.10185317424323856,0.025060932276170754,0.007765080646025558,0.00014725585567454833,0.06869748738307709,0.015657240741448274,,,,,,,,
7,0.0001,77160.0,0.38007878222755404,0.08607508661184712,0.01545072185370264,0.00637643749539145,8.924007644130342e-05,0.05165886549947168,0.007292561207477035,0.8608932668026036,0.1063350930924147,0.025951434640117253,0.008189308172563244,0.0001574728046143102,0.0712932470351231,0.016698836643249726,,,,,,,,
8,0.0001,86805.0,0.35913048583028745,0.0826854620556536,0.014257926959917809,0.006123574020784256,8.224849885112771e-05,0.05044205961472609,0.006897451177407386,0.8019326980113937,0.0942813691333853,0.022544977893539035,0.007203806740519463,0.00013325805559975882,0.06733719376354766,0.015587754402357091,,,,,,,,
9,0.0001,96450.0,0.34306332482290813,0.07962714382013975,0.013255397101401372,0.0058980122636661594,7.644098972918989e-05,0.04948784251129461,0.0065961585544301515,0.7678378559327033,0.08969295617913613,0.020862230426071045,0.006883373329154436,0.00012482185720296869,0.06727000590142058,0.014939512510132646,,,,,,,,
10,0.0001,106095.0,0.33057741698477006,0.07804847698937062,0.012704925769670075,0.005774626275794712,7.285799540743634e-05,0.048684518810029144,0.006357449824302027,0.7822519140387292,0.11350374039040254,0.023313153900506922,0.008586667112560259,0.0001361916045297107,0.06671989002999724,0.01517877520276445,0.6771912880637758,0.11220197600230315,0.022739188874319437,0.00862801944733485,0.00013187579966149552,0.06353955733086203,0.013089041983789133,True
11,0.0001,115740.0,0.31948355319247307,0.07608947069940028,0.01208896537163434,0.005632093674368831,6.956514086419329e-05,0.04799433464468019,0.006147891756416767,0.7400730807079284,0.09212410404060684,0.020037637986809884,0.0070251896361116,0.0001190054161122733,0.06542135806860946,0.014400708854422373,,,,,,,,
12,0.0001,125385.0,0.3118863635535737,0.07456575460262196,0.01164162314935828,0.005515389457876433,6.670339319649952e-05,0.04743643510622811,0.006004894808084348,0.7229917651524218,0.08945816787454333,0.019434373395924402,0.006862384073961484,0.000116628028820286,0.06466058234146407,0.014071147835129947,,,,,,,,
13,0.0001,135030.0,0.3002540520720248,0.07313571041027574,0.011139041159107025,0.005412601665432746,6.403672208556327e-05,0.04667923714064207,0.005782300218258339,0.8204237345346821,0.11046171483891902,0.025581069293356917,0.008563047238980404,0.0001586358118464113,0.07042913003775017,0.015896853304826503,,,,,,,,
14,0.0001,144675.0,0.29225249835770395,0.07198532975555581,0.01076256314726104,0.0053230696748794186,6.158370998947472e-05,0.046178043452887056,0.005629798704208886,0.7038132093145284,0.10132806095705618,0.020497132741163496,0.007700041968743336,0.00012010214294310094,0.0636478293443449,0.0136663215314673,,,,,,,,
15,0.0001,154320.0,0.2854967424757419,0.07094263839138236,0.010432554739883072,0.005246630732107415,5.9763313451277646e-05,0.04570036546108862,0.005501283754717202,0.6997468160660169,0.09716746641370574,0.019243894886916354,0.007372865010230077,0.00011339409261801529,0.06413429020045046,0.013610058423582011,,,,,,,,
16,0.0001,163965.0,0.2805802796430427,0.0696709532116933,0.01010771903724487,0.005153153692415248,5.7926558998731114e-05,0.04532241989707348,0.005409451212115916,0.6968161032131257,0.09434992613101786,0.019295256346311324,0.007171803487502723,0.00011431805539613774,0.06376538449640293,0.013550416937336288,,,,,,,,
17,0.0001,173610.0,0.2728410777711932,0.06867529234797298,0.009785665676336848,0.005078916110725879,5.605986331221689e-05,0.04484852966213331,0.005261108241897141,0.7548804003140137,0.11432881761158316,0.023500387516175066,0.008707962718301087,0.00013938685974057652,0.06461220279451378,0.01462760025595677,,,,,,,,
18,0.0001,183255.0,0.26927143665684894,0.06781759125520942,0.009589675683707827,0.005016043524924223,5.486801796861877e-05,0.044524856669604755,0.005193635219462843,0.709462708852695,0.1159517481129764,0.02250241977515534,0.00879930652383083,0.00013226653814177967,0.06410112504403191,0.013739205781550795,,,,,,,,
19,0.0001,192900.0,0.2664407429899255,0.06755731259220614,0.009526300851703437,0.004995081716682686,5.4440317157967e-05,0.04428775979000655,0.005138288842764417,0.717439194589978,0.0829101341067888,0.018126695919707867,0.006389475559772653,0.00011090199716083603,0.06409458970748416,0.013986249973405404,,,,,,,,
